date_qtr,expectations,import_price,unemp_gap,momentum,dummies,aena_demeaned,fitted,actual,residuals,forecast_error_h1,forecast_error_h2,forecast_error_h3,forecast_error_h4
2013 Q1,0.7486913628368528,-0.006548341610757141,-0.14559123214952635,-0.0026081453244110684,0,-5.774229487047948e-4,0.5933662208034534,0.5,-0.09336622080345336,0.006633779196546619,0.1066337791965466,0.20663377919654669,-0.09336622080345336
2013 Q2,0.7441826252589726,0.04419648604001953,-0.16796049583621467,-0.003063683225160615,0,0.017589967799594444,0.6349449000372114,0.6,-0.0349449000372114,0.06505509996278858,0.16505509996278867,-0.13494490003721138,0.06505509996278858
2013 Q3,0.7326526474834775,-0.03167205871500723,-0.1863421330579606,-0.004278547243731794,0,-0.015904192469407646,0.49445571599737026,0.7,0.2055442840026297,0.3055442840026298,0.00554428400262974,0.2055442840026297,-0.09445571599737024
2013 Q4,0.7318610370690405,-0.018898373755738905,-0.20356651802437703,-0.0026347909889015047,0,0.013153662020180928,0.5199150163202041,0.8,0.28008498367979595,-0.019915016320204093,0.18008498367979586,-0.11991501632020407,0.08008498367979588
2014 Q1,0.7320101810601662,-0.038694299361727254,-0.21879751986654,-0.0029779122956418635,0,-0.012414694093979153,0.4591257554422779,0.5,0.040874244557722095,0.24087424455772205,-0.05912575544227788,0.14087424455772207,0.14087424455772207
2014 Q2,0.732159325051292,-0.018013764064279875,-0.2268231662125292,-0.0015698493893477657,0,0.006718809057271749,0.49247135444240686,0.7,0.2075286455575931,-0.09247135444240684,0.10752864555759312,0.10752864555759312,0.10752864555759312
2014 Q3,0.7304728506901003,0.0224600822409766,-0.2513281709010518,-7.284348695837037e-4,0,-0.019168547633885667,0.48170777952655564,0.4,-0.08170777952655561,0.11829222047344434,0.11829222047344434,0.11829222047344434,-0.18170777952655565
2014 Q4,0.7304384328459943,0.02701610753318347,-0.26656718562814224,-0.006129338356761058,0,0.01993546250643952,0.504693478900714,0.6,0.09530652109928595,0.09530652109928595,0.09530652109928595,-0.20469347890071404,0.09530652109928595
2015 Q1,0.7281898003644051,0.07437828542417609,-0.2793944655854814,-0.002106529799281132,0,-0.0066151647128793924,0.5144519256909392,0.6,0.08554807430906075,0.08554807430906075,-0.21445192569093924,0.08554807430906075,-0.3144519256909392
2015 Q2,0.7335819292743382,-0.05701819008767424,-0.28334950378990803,0.0013053907261312936,0,0.005054292430505605,0.39957391855339275,0.6,0.20042608144660723,-0.09957391855339276,0.20042608144660723,-0.19957391855339274,0.10042608144660725
2015 Q3,0.7288437394024183,-0.061283478417776885,-0.2949332209711637,0.004764142088660044,0,-0.008621578525304324,0.3687696035768334,0.3,-0.06876960357683343,0.23123039642316656,-0.1687696035768334,0.13123039642316658,-0.06876960357683343
2015 Q4,0.7239449329246707,0.007584768220584056,-0.2732290217166248,-0.004404110438831169,0,0.026635920151749558,0.48053248914154834,0.6,0.11946751085845164,-0.2805324891415483,0.019467510858451664,-0.18053248914154835,-0.08053248914154831
2016 Q1,0.7082503960123548,-0.029201527994156404,-0.2713789219867899,0.00939734359177436,0,-0.01909421792327312,0.3979730716999097,0.2,-0.1979730716999097,0.1020269283000903,-0.09797307169990971,0.002026928300090325,0.1020269283000903
2016 Q2,0.7087666636739441,0.030187731644498263,-0.2590613556560495,0.0010383175827634096,0,-0.005156037015086618,0.47577532023006974,0.5,0.024224679769930257,-0.17577532023006975,-0.07577532023006972,0.024224679769930257,0.024224679769930257
