variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLAENA_EST
NAIRU[59],4.547771478118786,4.537890779103188,4.053256547082115,4.99416461179251,4.248160406977221,4.863064913208909,2012 Q2,5.1192635,1.197619104671599,0.8
NAIRU[60],4.566618001131946,4.578506327977713,4.063184049196215,5.032185992491107,4.236746086902952,4.8997266574516285,2012 Q3,5.2759066,0,-0.2
NAIRU[61],4.587080420657458,4.591394763612826,4.020738359469208,5.055323747900869,4.269025732692458,4.895608386132635,2012 Q4,5.366588366666667,-1.996074256253788,0.8
NAIRU[62],4.602295307613947,4.616765142843907,4.068059351135731,5.076085217559105,4.281513327203052,4.945107433798128,2013 Q1,5.474768766666667,0.708863727773501,0
NAIRU[63],4.604542033218719,4.6222761949143845,4.039422541421079,5.115565450643691,4.2418296999277905,4.967805299704756,2013 Q2,5.6312682999999994,-0.5970166986504211,0.7
NAIRU[64],4.608969957394398,4.633050497004444,4.031149417586435,5.0972967721178435,4.248802312983016,4.9540165488621035,2013 Q3,5.7286164,5.475463371835865,0.7
NAIRU[65],4.60573526989539,4.616212456634734,4.015007414260784,5.0718388233830956,4.298420515928209,4.937385359917105,2013 Q4,5.840081433333333,4.629088381435409,1.9
NAIRU[66],4.589726201984818,4.603366393779654,4.0571418698004384,5.1175908313825,4.271408844594933,4.902901998746738,2014 Q1,5.8995707,7.669939312596341,0.2
NAIRU[67],4.57397242602702,4.595726117617443,4.041433593665821,5.07795497197381,4.223385558212903,4.907427518408965,2014 Q2,5.927679333333333,4.964523048916547,0.7
NAIRU[68],4.545541790607369,4.564340251967533,3.937679772933648,5.062806156190514,4.222030544827576,4.884189909308587,2014 Q3,6.169539133333333,-0.19047624806542984,0.7
NAIRU[69],4.511899227287564,4.537385762185377,3.9564393805549165,5.005889814525084,4.1584686363926355,4.829658886152608,2014 Q4,6.253391966666666,3.8702329019038473,0.8
NAIRU[70],4.483254599470386,4.5087818726382505,3.9397034428110644,4.986540048315832,4.146183826050947,4.807798379113953,2015 Q1,6.202812866666666,4.923510299768541,-1.2
NAIRU[71],4.464386126832067,4.499952487073282,3.901399021458741,4.961707818971928,4.129209058312934,4.786896913027282,2015 Q2,6.017128733333333,6.346957394866681,1
NAIRU[72],4.4260403004372115,4.446982004863509,3.913730898874222,4.955313546833974,4.082142546814717,4.753211273267741,2015 Q3,6.178474766666667,9.97202349434545,0.7
NAIRU[73],4.409865512574428,4.420618224654318,3.9039469784761436,4.9020592072893185,4.085905790550116,4.747061349651375,2015 Q4,5.834532633333334,8.430710645999362,0.4
NAIRU[74],4.359467270049534,4.3536269541155725,3.878467098027067,4.876332220790385,4.00760214113585,4.697927986370674,2016 Q1,5.796395033333333,3.9254931018431805,-0.1
NAIRU[75],4.337829271137445,4.318276105065307,3.8384880767624647,4.859126003324233,4.034522216424127,4.675834158536538,2016 Q2,5.6874937,2.2037031046728828,0.5
NAIRU[76],4.312960209669036,4.291962266214469,3.862888781953285,4.776265193490331,3.982341092669133,4.634805157211572,2016 Q3,5.6576064666666666,-2.092491342424818,0.3
NAIRU[77],4.291844269148102,4.266124212333782,3.820337696692276,4.78335870920566,3.9584797699397187,4.64346825971748,2016 Q4,5.733405633333334,-4.082199452025481,-0.6
NAIRU[78],4.280292928566481,4.256371431471566,3.8130371396733724,4.747797518258652,3.962496599284351,4.604212797699543,2017 Q1,5.807673066666666,-3.3046485355948008,-0.6
NAIRU[79],4.27222055403449,4.276449392154924,3.862958240627378,4.729603551116207,3.95768152319178,4.571843798619807,2017 Q2,5.593200266666667,-0.9636517848274018,0.9
NAIRU[80],4.257533595102685,4.265215981174666,3.819315273765068,4.721815663109504,3.942909472522828,4.565198156146451,2017 Q3,5.532623233333333,-1.5986130846302515,1
NAIRU[81],4.238136766537827,4.246252787275051,3.792796839344051,4.71483609659669,3.9174273625338643,4.562088448010816,2017 Q4,5.491421833333333,-0.44424773195608225,0.8
NAIRU[82],4.21656970310941,4.214958678364571,3.7235355552951916,4.676407899695343,3.877079973910459,4.546828856235011,2018 Q1,5.545387633333333,-0.5319161477600254,0.7
NAIRU[83],4.204710962613496,4.193788294079061,3.7617346471048014,4.67010768991597,3.9234589478144772,4.562062494395011,2018 Q2,5.441253533333334,0.4391750580978737,0
NAIRU[84],4.19325712136361,4.183968901918002,3.789443477122103,4.679495067594432,3.9086094795763184,4.5442928558435245,2018 Q3,5.1852937,3.5183928124475905,0.9
NAIRU[85],4.1913370052205305,4.178305772667049,3.7746784990855584,4.679786285603984,3.894389407887631,4.531672647757563,2018 Q4,5.042751866666666,3.4999197780220648,1.3
NAIRU[86],4.185613706569981,4.17494691035486,3.7300496721274206,4.680062848008436,3.8825652758490525,4.514591829135124,2019 Q1,5.0437186333333335,3.2359622773336483,-0.1
NAIRU[87],4.179352085978697,4.1753251650239775,3.7345199853307065,4.661155562808894,3.869577373312747,4.480847163414647,2019 Q2,5.2255074,2.851165052596638,2
NAIRU[88],4.19190468629244,4.20793220913351,3.709850950395291,4.6479751972945085,3.880672424998729,4.514310687848867,2019 Q3,5.252756266666666,2.3068088250274066,0.5
NAIRU[89],4.205271891524057,4.211741638886423,3.720238613701371,4.631145424514781,3.8939688307291007,4.513567060461682,2019 Q4,5.171337833333333,2.1268347403926136,1.4
NAIRU[90],4.226590658110213,4.257854056925393,3.74636371442591,4.684931798178094,3.9011828203176644,4.515653057605626,2020 Q1,5.186909333333333,2.4650631943442747,1.2
NAIRU[91],4.244862337055763,4.2470942188576775,3.818493538363245,4.668426303152661,3.922413378856005,4.526047071670964,2020 Q2,6.9056799,3.843413733926049,5.9
NAIRU[92],4.273309924129212,4.28679008977065,3.810203783169182,4.742258339918607,3.9522430214175124,4.559527868832599,2020 Q3,7.050215966666666,-0.9333966790475046,-1.8
NAIRU[93],4.291949136393772,4.269898106362085,3.878630693023466,4.763387444577388,3.9873223109418534,4.59010559279102,2020 Q4,6.7729957,-2.2989518224698635,-0.3
NAIRU[94],4.31600048468581,4.30847932385632,3.9188877720171593,4.80813402162761,4.038116382304658,4.617893164110036,2021 Q1,5.932969166666667,-4.464260590811708,1
NAIRU[95],4.332146096416678,4.315856332587091,3.9246212696308813,4.804414338793106,4.049969105075702,4.630083816866223,2021 Q2,5.2007346,-6.782259633876109,0.2
NAIRU[96],4.350083563014437,4.322786675736144,3.895221323065344,4.783396739720034,4.079484620925193,4.660973730790234,2021 Q3,4.664694133333334,1.1864545956192352,2.7
NAIRU[97],4.358813355859577,4.326692739931094,3.9094441330185905,4.783908311452347,4.097062020009562,4.6357636029680735,2021 Q4,4.6930859,5.202515398928043,0.6
NAIRU[98],4.35598324919081,4.335698868651625,3.9545790082582446,4.7689201529683265,4.103425971781764,4.6024805990174125,2022 Q1,4.0610144,9.299286684916463,1.4
NAIRU[99],4.377123528572634,4.359096840258632,3.982531721751501,4.794704888495143,4.128431804910022,4.65633129496798,2022 Q2,3.7994325,8.08520966290951,-0.5
NAIRU[100],4.391941310333834,4.369292587742994,3.9795413120562286,4.823527988201135,4.159721460214398,4.672499709829445,2022 Q3,3.5227551333333333,8.939550265436758,0.8
NAIRU[101],4.416400250720445,4.397821261907161,4.021947475449911,4.828890140162542,4.146184258953062,4.712181837603917,2022 Q4,3.4929186333333333,8.687509078839728,0.1
NAIRU[102],4.416325856188277,4.403394210956122,4.037809159756039,4.85226668294531,4.128497082098603,4.698022695623574,2023 Q1,3.6231456333333334,4.382547954002902,0.7
NAIRU[103],4.433005835453473,4.422332584350428,4.054202477594906,4.835807256282646,4.179545105444131,4.6766986799547565,2023 Q2,3.6039779,6.271647386762602,0.2
NAIRU[104],4.452706392713158,4.428504723725087,4.0416418924547495,4.8593253192353325,4.184520249028209,4.740116585785685,2023 Q3,3.6488515666666665,1.3772214621226908,3.2
NAIRU[105],4.453500124724054,4.435343806042676,4.0852535750880925,4.849923749141429,4.203111192736774,4.714865130502404,2023 Q4,3.899197733333333,0.5979091056057761,2.2
NAIRU[106],4.4567184017817985,4.439484561070612,4.043324707771355,4.903795851093737,4.190340124261751,4.7176751851779235,2024 Q1,3.9113048,1.0662705744040046,0.8
NAIRU[107],4.471417603395534,4.459769992539448,4.128162395405003,4.926371097054257,4.215585345815175,4.720213293272914,2024 Q2,4.039988866666667,0.9077218151117172,0.7
NAIRU[108],4.503766828338728,4.489294817287728,4.130349106995704,4.929617053213139,4.261671887100434,4.740175430986225,2024 Q3,4.109908833333333,1.1333706509849328,0.1
NAIRU[109],4.5317328560591505,4.535074419068778,4.158328191991466,4.9228469480858035,4.273275436319246,4.756673893967908,2024 Q4,4.008619466666667,0.4460973940624946,1.9
NAIRU[110],4.5715696777915715,4.543963523085367,4.20722086296175,4.994224865374913,4.327996707548973,4.8381603233885055,2025 Q1,4.094575966666667,3.2056416116116537,1
NAIRU[111],4.583839910099981,4.5526996225384275,4.181040758033007,5.021068990170783,4.351178081667804,4.832063767152217,2025 Q2,4.157974933333334,2.967576814611661,1.5
NAIRU[112],4.616698188157161,4.603940054665397,4.220040930107713,5.073690934308737,4.369440628857223,4.871573717141313,2025 Q3,4.3060484,2.0818595756032288,1.3
NAIRU[113],4.630246626802669,4.621749576359601,4.21573078214471,5.045463705391649,4.374848524681192,4.8806419267396155,2025 Q4,4.2573268,1.326474865848315,0.5
NAIRU[114],4.638187858243883,4.60929117990495,4.217269527590108,5.1105825910161435,4.3734155493154745,4.909055392361617,2026 Q1,4.223809066666667,-2.2256111517823918,0.2
NAIRU[115],4.654631359600095,4.640090974638483,4.225747576789854,5.110511440535359,4.382894021696864,4.905861754067582,2026 Q2,4.434078,-3.571808260207998,0.2
NAIRU[116],4.6522688890556685,4.637482943229438,4.151726266187401,5.0950557692915215,4.3763995474414195,4.923194563664447,2026 Q3,4.4618247,-3.571808260207998,0.2
NAIRU[117],4.656850278812195,4.63738459504264,4.179128372122701,5.148209165512212,4.348381723820853,4.94720345765003,2026 Q4,4.4618247,-3.571808260207998,0.2
NAIRU[118],4.657915193220771,4.659490236097939,4.141147183620214,5.1303475024044936,4.334425201089397,5.004836256153649,2027 Q1,4.4618247,-3.571808260207998,0.2
NAIRU[119],4.658483123614352,4.668941280873936,4.156080963561928,5.176591048531657,4.337826285543094,4.981094997330788,2027 Q2,4.4618247,-3.571808260207998,0.7870548907124056
