variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLNULC_EST,DLAENA_EST,DLWPI_EST
NAIRU[85],4.575367431775474,4.304316871835962,3.7105729739832376,5.996450631059356,4.046470501004667,5.597957425851432,2018 Q4,5.042751866666666,3.4999197780220648,1.1043132949061452,1.3,0.5378422492758439
NAIRU[86],4.542180343061086,4.284809377845663,3.7612955061814835,5.96150109731206,4.005885881879065,5.417882899041089,2019 Q1,5.0437186333333335,3.2359622773336483,0.7031411161410817,-0.1,0.5349649747239837
NAIRU[87],4.536166883088723,4.28216893638602,3.764078960200752,5.8784472417652465,4.0200542128216945,5.466174544591374,2019 Q2,5.2255074,2.851165052596638,1.1218512220970478,1.9,0.6079046076382433
NAIRU[88],4.553054360365738,4.323564363986161,3.787612367309625,5.9762794276212095,4.011296337861852,5.43942696068999,2019 Q3,5.252756266666666,2.3068088250274066,0.411179528036143,0.6,0.5289018751791552
NAIRU[89],4.557493482201799,4.3291749250314115,3.782164509891782,5.969717087428891,4.05518947796561,5.388771438547301,2019 Q4,5.171337833333333,2.1268347403926136,0.7773673554610228,1.5,0.5261192143361626
NAIRU[90],4.568289254810279,4.338089322107107,3.842038947022249,5.938658533150828,4.0680045334833075,5.37294915195254,2020 Q1,5.186909333333333,2.4650631943442747,0.9265624467023725,1.3,0.5233656806108655
NAIRU[91],4.572040129245875,4.370520672804917,3.892256785064328,5.963601794626841,4.089300081015191,5.357058101276291,2020 Q2,6.9056799,3.843413733926049,5.0727669920073275,5.8,0.2234637801416639
NAIRU[92],4.547346216649137,4.372421940434822,3.9273886550430355,5.765714215693074,4.09014063583389,5.294686877011481,2020 Q3,7.050215966666666,-0.9333966790475046,-1.1839551972131268,-1.8,0.07437709528446135
NAIRU[93],4.484863827801799,4.335568357472261,3.8714906836927723,5.6233759183042915,4.06605669877493,5.147403380660311,2020 Q4,6.7729957,-2.2989518224698635,-1.5044403848114563,-0.2,0.5190964566970102
NAIRU[94],4.437672254146038,4.3305880248573265,3.8943283869472896,5.528734302358626,4.066486678296604,4.859804352864181,2021 Q1,5.932969166666667,-4.464260590811708,-0.10369113217154613,1.1,0.6634746048556295
NAIRU[95],4.39143434950489,4.306684398622507,3.7617846145294456,5.359302927158174,4.060726964480079,4.779896718859425,2021 Q2,5.2007346,-6.782259633876109,1.016853518783456,0.1,0.5130095531030499
NAIRU[96],4.29676531124668,4.272657851713461,3.4878577578304126,5.0397506606077815,4.0061905690422295,4.6321461749336885,2021 Q3,4.664694133333334,1.1864545956192352,2.4737112804426364,2.8,0.5103911918175719
NAIRU[97],4.214046656440902,4.263669264945728,3.1662009209632713,4.789516810841412,4.026823052892714,4.5606676937263515,2021 Q4,4.6930859,5.202515398928043,-1.0198407556646805,0.6,0.6524126076943304
NAIRU[98],4.143026821939923,4.265402020456104,2.745860176864792,4.609352236496285,3.9914991639178043,4.464491309449715,2022 Q1,4.0610144,9.299286684916463,1.1015860105033526,1.5,0.6481837602190232
NAIRU[99],4.04892634810912,4.259381469289292,2.426260015895905,4.572241204284571,3.5241168008798454,4.4763874288635614,2022 Q2,3.7994325,8.08520966290951,1.664494873796063,-0.6,0.7865610805951384
NAIRU[100],4.006798417965639,4.300310221964566,2.2763291098703684,4.632283719458176,3.200313870429753,4.513262310017346,2022 Q3,3.5227551333333333,8.939550265436758,2.2890383109042123,0.8,0.9922122506315745
NAIRU[101],3.9677926344208267,4.343290053477125,2.1423928404384527,4.712317812891579,2.8361451337493264,4.555749519080963,2022 Q4,3.4929186333333333,8.687509078839728,0.8659683527837192,0.2,0.8427016161880019
NAIRU[102],3.97734390464557,4.4422003139700665,2.05315325589713,4.7686118887668325,2.5447930061666626,4.6463814803750125,2023 Q1,3.6231456333333334,4.382547954002902,1.403161803111086,0.8,0.9742596198819342
NAIRU[103],3.918895480673997,4.447739916320957,1.8964293366193057,4.766713904344009,2.2318839017141663,4.661291457405462,2023 Q2,3.6039779,6.271647386762602,1.1881353600079914,0.4,0.827590930385913
NAIRU[104],3.913343568514796,4.46880330097531,1.7386559499609495,4.810840821602936,2.0407170284189906,4.6995004919469086,2023 Q3,3.6488515666666665,1.3772214621226908,1.9178419331609464,2.9,1.2965040017289375
NAIRU[105],3.928813725075934,4.4525774282678965,1.8067695272444457,4.804454346169093,2.099468862137869,4.696611380203051,2023 Q4,3.899197733333333,0.5979091056057761,1.71765841244369,2.3,1.0789045990818202
NAIRU[106],3.9351739322818022,4.424163101227846,1.9215612213786344,4.7866937210676594,2.2378585878092867,4.65940985455237,2024 Q1,3.9113048,1.0662705744040046,0.8384343365973823,0.8,0.7350517559340908
NAIRU[107],3.939042863877021,4.4620791844737235,1.963424605109989,4.74506271427763,2.2639566520799597,4.677960420980991,2024 Q2,4.039988866666667,0.9077218151117172,0.9399721796034766,0.7,0.8617885619389476
NAIRU[108],4.0014665076763,4.494099912460526,1.9689039336766474,4.830356168825454,2.3268002628081166,4.730612324012799,2024 Q3,4.109908833333333,1.1333706509849328,1.1392950344753183,0,0.8544251782996781
NAIRU[109],4.010830918107891,4.511333473387211,1.9093761799737805,4.851564162910228,2.228679541883637,4.7754303750577884,2024 Q4,4.008619466666667,0.4460973940624946,1.6971057276952473,1.9,0.717316411241331
NAIRU[110],4.020384284517825,4.548611465254575,1.9376298462725061,4.9151269624206275,2.2329278232626026,4.777651477462398,2025 Q1,4.094575966666667,3.2056416116116537,1.2430773801046624,1.2,0.9699397088713368
NAIRU[111],4.066124876226242,4.579106241311051,1.9742819961132592,4.904536024994086,2.3478025660873953,4.827670389329356,2025 Q2,4.157974933333334,2.967576814611661,0.6363379164154859,1.4,0.8330711428428117
NAIRU[112],4.080676634976123,4.589507766720114,1.9246316932020857,4.93644030729035,2.4603338896938642,4.808768909142958,2025 Q3,4.3060484,2.0818595756032288,1.2068786462299586,1.3,0.7628771899621078
NAIRU[113],4.119045759702263,4.630094652373668,2.0180171296380456,4.958487579888537,2.4914779348471563,4.862227821180495,2025 Q4,4.2573268,1.326474865848315,0.5519293141781789,0.4,0.8199352148686501
NAIRU[114],4.144696250413319,4.6438070641968965,2.083710666883711,4.973911334589227,2.5300080583923945,4.879094435964685,2026 Q1,4.223809066666667,-2.2256111517823918,0.9852231720965277,0.2,0.7509422022131673
NAIRU[115],4.162614697555389,4.6453538415360125,2.054793162900782,5.030472952739285,2.5398835463246776,4.898219478239732,2026 Q2,4.434078,-3.571808260207998,1.1265584160728648,1.3,0.8072071150646565
NAIRU[116],4.193474227884838,4.692121625533136,1.999408008466173,5.073790583018731,2.617120145531599,4.921780687513813,2026 Q3,4.4618247,-3.571808260207998,1.1265584160728648,1.3,0.8072071150646565
NAIRU[117],4.217385438424558,4.693837414582752,1.9920519782370423,5.165483323002851,2.607346956145281,4.9573817959315205,2026 Q4,4.4618247,-3.571808260207998,1.1265584160728648,1.3,0.8072071150646565
NAIRU[118],4.228554405605054,4.685692060327632,2.056827482457309,5.175911520277737,2.6323626462935827,5.023582393018001,2027 Q1,4.4618247,-3.571808260207998,1.1265584160728648,1.3,0.8072071150646565
NAIRU[119],4.221728046907518,4.660687322619421,1.9051966809073972,5.179018153603863,2.590507408200111,5.014592751391679,2027 Q2,4.4618247,-3.571808260207998,0.7829114032131088,0.9374244701076502,0.8291075796446492
