date,region,DLWPI,UR
2019 Q2,QLD,0.3046460848165289,6.083428233333334
2019 Q3,QLD,0.8330226133942631,6.237401133333333
2019 Q4,QLD,0.3012050469991756,5.925286766666667
2020 Q1,QLD,0.5997019472374632,5.749120166666667
2020 Q2,QLD,0,7.4849368
2020 Q3,QLD,0.5961269516499001,7.6706915
2020 Q4,QLD,0.37078277555258055,7.352128966666666
2021 Q1,QLD,0.4431321874670324,6.2487585333333335
2021 Q2,QLD,0.29433428165965836,5.5112842
2021 Q3,QLD,0.8778403116505018,5.0353330666666665
2021 Q4,QLD,0.7979730409644503,4.762909266666667
2022 Q1,QLD,0.5045055745827476,4.112779033333333
2022 Q2,QLD,0.7163354413564527,4.0282941999999995
2022 Q3,QLD,1.3470604258299268,3.5539937
2022 Q4,QLD,0.771662896114389,3.4089022
2023 Q1,QLD,0.8350779217420445,3.7994237
2023 Q2,QLD,0.6906104796412293,3.8182999
2023 Q3,QLD,2.3130282889871623,4.046377566666667
2023 Q4,QLD,0.8704440630146415,4.304670766666667
2024 Q1,QLD,0.6644542718668767,4.055116033333333
2024 Q2,QLD,0.6600684031352166,3.9919826666666665
2024 Q3,QLD,1.6313575491524013,4.171631033333333
2024 Q4,QLD,0.6451635281488066,3.8804735999999997
2025 Q1,QLD,0.6410278360919008,3.9710078666666666
1997 Q3,SA,NA,9.5949781
1997 Q4,SA,0.7446050784078118,9.426375966666667
1998 Q1,SA,0.5917177028088361,9.4296088
1998 Q2,SA,0.4415018209117605,9.4686988
1998 Q3,SA,1.3129291441792645,9.779941133333333
1998 Q4,SA,0.5780362915499104,9.0455247
1999 Q1,SA,0.7178781727005479,8.6944319
1999 Q2,SA,0.14295928095950927,7.938353266666667
1999 Q3,SA,1.136375865031436,7.7110723
1999 Q4,SA,0.8438868645865405,7.904995366666666
2000 Q1,SA,0.5586606708638975,8.006718333333334
2000 Q2,SA,0.6939653110540789,8.070885366666667
2000 Q3,SA,0.9635311983672068,7.3214544
2000 Q4,SA,0.8185584586439809,7.2658701
2001 Q1,SA,0.9465925988882518,6.954416933333333
2001 Q2,SA,0.40295554860021454,7.513436633333334
2001 Q3,SA,0.9339627596132161,7.487064166666666
2001 Q4,SA,1.1881327886753112,7.247909466666667
2002 Q1,SA,0.6540245680609402,7.081871766666667
2002 Q2,SA,0.3903713480474025,6.722029233333333
2002 Q3,SA,1.4184634991956102,6.802675533333334
2002 Q4,SA,1.3986241974739855,6.281036566666667
2003 Q1,SA,0.5037794029957077,6.1869079000000005
2003 Q2,SA,0.5012541823544048,6.118714566666666
2003 Q3,SA,1.6119381879883932,6.085851966666667
2003 Q4,SA,1.2225091129258736,6.212087833333333
2004 Q1,SA,0.6056953708189816,6.022613166666667
2004 Q2,SA,0.24125464053845747,6.015131633333334
2004 Q3,SA,1.1976191046715101,6.116840533333334
2004 Q4,SA,1.3010236736015202,5.275758133333333
2005 Q1,SA,0.7025790024405509,5.4588741
2005 Q2,SA,0.46565858299505436,5.302857266666667
2005 Q3,SA,1.2694919481249123,4.809313633333333
2005 Q4,SA,1.1402632097811782,4.7809262
2006 Q1,SA,0.6779686985378675,4.887335866666667
2006 Q2,SA,0.5614837884329482,4.9238477000000005
2006 Q3,SA,1.2242779515677427,4.8547598
2006 Q4,SA,1.2094704883344853,5.1143817
2007 Q1,SA,1.1950169370657626,5.1920011
2007 Q2,SA,0.5385042630887682,4.9454984
2007 Q3,SA,1.8095224977955127,4.791520466666666
2007 Q4,SA,1.153657262841623,5.0601707
2008 Q1,SA,0.9341012393139003,4.5606345
2008 Q2,SA,0.6179216365957529,4.957943966666667
2008 Q3,SA,1.1230337529553935,4.9387487
2008 Q4,SA,1.411313747646492,5.3566425
2009 Q1,SA,0.6982572011130728,5.8141487666666665
2009 Q2,SA,0.3968259175620936,5.5217886
2009 Q3,SA,0.6906786213254357,5.6898365
2009 Q4,SA,0.5882369903067008,5.3587149
2010 Q1,SA,0.8759180089881191,4.913026833333333
2010 Q2,SA,0.6760045057719211,5.546577366666667
2010 Q3,SA,1.1483379777724068,5.2667107
2010 Q4,SA,1.1353007464996345,5.5766666
2011 Q1,SA,0.5628532683097376,5.5384025333333335
2011 Q2,SA,0.3734831605653355,5.327674133333333
2011 Q3,SA,1.2042757863182096,5.2219546333333335
2011 Q4,SA,1.0989121575595284,5.278381700000001
2012 Q1,SA,0.635499188237798,5.2379771999999996
2012 Q2,SA,0.45146803545259573,5.614921466666667
2012 Q3,SA,1.3423020332140823,5.474105333333333
2012 Q4,SA,0.6202944124607868,5.630462166666667
2013 Q1,SA,0.8795131452827398,5.951608033333334
2013 Q2,SA,0.43687269134151663,5.939956666666666
2013 Q3,SA,1.3853035389293389,6.561751733333333
2013 Q4,SA,0.7708817618294006,6.8423328
2014 Q1,SA,0.5954930400412728,6.7766062
2014 Q2,SA,0.25412974286727064,6.753339333333333
2014 Q3,SA,1.0101095986503772,6.528542033333333
2014 Q4,SA,0.6677821142605289,6.685994133333334
2015 Q1,SA,0.5806735519639616,6.8581608
2015 Q2,SA,0.16528929383001767,7.6993836
2015 Q3,SA,0.9042396178448264,7.827264033333334
2015 Q4,SA,0.6525308634921956,7.2870631333333336
2016 Q1,SA,0.40568006956149816,7.014915866666667
2016 Q2,SA,0.24262041824636427,6.917109833333333
2016 Q3,SA,0.9646377051805821,6.692173133333333
2016 Q4,SA,0.5584378293900016,6.713576
2017 Q1,SA,0.3969834510911596,6.5400856
2017 Q2,SA,0.15835316056440618,6.9090071
2017 Q3,SA,0.866488288572409,5.893723933333333
2017 Q4,SA,0.4694844304207635,6.021054333333333
2018 Q1,SA,0.62257010424531245,5.8849535
2018 Q2,SA,0.15503879074545424,5.7180421
2018 Q3,SA,0.9252186278202679,5.631294
2018 Q4,SA,0.6120906638854784,5.680958733333333
2019 Q1,SA,0.38066281215627384,5.919380866666667
2019 Q2,SA,0.22770408320518243,5.921158966666667
2019 Q3,SA,1.0558167461394596,6.8592128
2019 Q4,SA,0.5983563102969214,6.253636466666667
2020 Q1,SA,0.3721626922994936,5.820770566666667
2020 Q2,SA,0.37078277555258055,7.823629533333333
2020 Q3,SA,0.4431321874670324,7.604258300000001
2020 Q4,SA,0.2208318895228878,6.5781216
2021 Q1,SA,0.5133857993851798,6.610217333333334
2021 Q2,SA,0.3650971561880212,5.661053033333333
2021 Q3,SA,0.7262196041785351,4.917082333333334
2021 Q4,SA,0.5052338426728475,4.6659628
2022 Q1,SA,0.574301650261777,4.9048544666666665
2022 Q2,SA,0.42857208454991635,4.5052685666666665
2022 Q3,SA,1.7662062797069389,4.176196433333333
